,type,title,class,time (h),ing,note,,
280,정규강좌,"[소확성] 롱런을 위한 원픽 투자처, 내 몸에 투자하라",건강,10,DONE,스킵가능,,
288,정규강좌,The 바른 라오스어,기타 외국어,10,ing-pc,,,
289,정규강좌,[소확성] 지구와의 공존을 모색하는 가장 쉬운 기후 수업,인문,10,DONE,스킵가능,,
30,정규강좌,"ChatGPT가 바꿔놓은 창의적 문제해결법, 트리즈",트렌드,11,ing-pc,,,
119,정규강좌,"[세일즈 뉴노멀] Value Selling을 통한 거래 확대, 핵심 거래처 관리 전략",직무적성검사,11,,,,
144,정규강좌,"디지털 혁신의 비밀, 데이터 커뮤니케이션",디지털 트랜스포메이션,11,,,,
153,정규강좌,"[소확성] 오직 스마트폰으로, 나만의 영상 만들기",취미,11,DONE,스킵가능,,
156,정규강좌,정보처리기사 필기 - 정보시스템 구축 관리,정보처리기사,11,,,,
191,정규강좌,[HD]최강의 무료 영상편집 Davinci Resolve(다빈치 리졸브) V17 Fusion 입문 Part.4,영상편집,11,,,,
219,정규강좌,[HD]최강의 무료 영상편집 Davinci Resolve(다빈치 리졸브) V17 Fusion 입문 Part.1,영상편집,11,,,,
228,정규강좌,[HD]Illustrator CC 2021 기초 다지기,웹디자인,11,,,,
4,정규강좌,떠먹여주는 ChatGPT 데이터 분석(feat. 파이썬),트렌드,12,,,,
53,정규강좌,팔리는 브랜드 경험을 만드는 데이터 마케팅,직업기초능력,12,,,,
80,정규강좌,[디지털융합] 메타버스로 혁신하는 비즈니스 전략,메타버스,12,,,,
151,정규강좌,The 바른 일본어 - 초급,일본어일반회화,12,,,,
186,정규강좌,[HD]최강의 무료 영상편집 Davinci Resolve(다빈치 리졸브) V17 Fusion 입문 Part.2,영상편집,12,,,,
190,정규강좌,[HD]최강의 무료 영상편집 Davinci Resolve(다빈치 리졸브) V17 Fusion 입문 Part.3,영상편집,12,,,,
202,정규강좌,"작품 속 예술가들의 삶과 이야기-미술 춘추전국시대, 바로크에서 사실주의까지",취미,12,DONE,스킵가능,,
206,정규강좌,"[쉼, 건강_식사편] [ASMR러닝] 직장인의 10분 힐링 요리, 수미네반찬 x 브롱부부",건강,12,,,,
207,정규강좌,작품 속 예술가들의 삶과 이야기-느낌대로 GO! 인상주의,취미,12,DONE,스킵가능,,
247,정규강좌,The 빠른 OPIc AL,영어시험대비,12,,,,
106,정규강좌,"[SSS급 인재] 팔리는 기획에는 이것이 있다, 비즈니스 오너십",직업기초능력,13,,,,
114,정규강좌,[세일즈 뉴노멀] 영업조직 전략 개발,직무적성검사,13,,,,
145,정규강좌,"[디지털융합] 디지털 혁신의 비밀, 데이터 문제해결력",디지털 트랜스포메이션,13,,,,
183,정규강좌,[HD]실무 원 페이지 웹앱 디자인 제대로 배우기 Part.2,웹디자인,13,,,,
208,정규강좌,"작품 속 예술가들의 삶과 이야기-천재들의 시대, 르네상스",취미,13,DONE,스킵가능,,
226,정규강좌,[HD]Photoshop CC 2021 활용하기,웹디자인,13,,,,
239,정규강좌,"워킹맘&워킹대디, 사춘기 자녀 속마음이 궁금해!",자녀교육,13,,,,
313,정규강좌,정보처리기사 필기 - 프로그래밍 언어 활용,정보처리기사,13,,,,
10,정규강좌,유튜브에선 안알려주는 ChatGPT 업무자동화(feat. MS Office),트렌드,14,,,,
223,정규강좌,[HD]기능별로 배우는 Microsoft 365 PowerPoint Part.2,파워포인트,14,,,,
232,정규강좌,[HD]Wix(윅스)로 나만의 멋진 홈페이지 만들기,취미,14,,,,
252,정규강좌,[재경관리사] 원가관리회계,재경관리사,14,,,,
312,정규강좌,정보처리기사 필기 - 데이터베이스 구축,정보처리기사,14,,,,
63,정규강좌,The 바른 일본어 - 고급,일본어일반회화,15,,,,
148,정규강좌,[정소연의 Final Review] 15일에 끝내는 HSK 4급,중국어시험대비,15,,,,
149,정규강좌,[정소연의 Final Review] 15일에 끝내는 HSK 5급,중국어시험대비,15,,,,
150,정규강좌,[정소연의 Final Review] 15일에 끝내는 HSK 6급,중국어시험대비,15,,,,
184,정규강좌,[HD]실무 원 페이지 웹앱 디자인 제대로 배우기 Part.1,웹디자인,15,,,,
227,정규강좌,[HD]Illustrator CC 2021 활용하기,웹디자인,15,,,,
62,정규강좌,"커리어 2라운드, 새롭게 커리어로 도약하는 법",인생이모작,16,,,,
163,정규강좌,정보처리기사 실기2,정보처리기사,16,,,,
177,정규강좌,한국문화와 현대사회의 이해,기타,16,,,,
225,정규강좌,[HD]기능별로 배우는 Microsoft 365 PowerPoint Part.1,파워포인트,16,,,,
303,정규강좌,동화구연지도사,생활교양자격증,16,,,,
304,정규강좌,식습관코치,생활교양자격증,16,,,,
305,정규강좌,아동수학지도사,생활교양자격증,16,,,,
306,정규강좌,아동요리지도사,생활교양자격증,16,,,,
309,정규강좌,다문화심리상담사,생활교양자격증,16,,,,
310,정규강좌,스피치지도사,생활교양자격증,16,,,,
356,테마강좌,2023 안전보건교육 특수형태근로종사자(특별교육_일반근로자),필수교육,16,,,,
89,정규강좌,설득력을 높이는 데이터 시각화 : 파워포인트 ＆ 엑셀,직업기초능력,17,,,,
118,정규강좌,[MARKETING 5.0] 힙한 브랜드를 만드는 디지털 마케팅 커뮤니케이션,직무적성검사,17,,,,
125,정규강좌,[오늘부터 정시퇴근] 엑셀 실무 데이터 분석 2016+365,엑셀/워드/한글,17,,,,
127,정규강좌,[디지털융합] 처음 배우는 머신러닝,빅데이터,17,,,,
132,정규강좌,[오늘부터 정시퇴근] 파워포인트 실무 디자인 2016+365,파워포인트,17,,,,
158,정규강좌,"[일잘러의 3종 스킬] 기획력, 문서작성력, 보고법",직업기초능력,17,,,,
159,정규강좌,"마케팅, 판이 달라진다 - DT시대의 디지털 마케팅",SNS활용,17,,,,
164,정규강좌,정보처리기사 실기1,정보처리기사,17,,,,
171,정규강좌,"[디지털융합] [데이터 리터러시] 의견은 됐고, 데이터로 말하라",디지털 트랜스포메이션,17,,,,
175,정규강좌,[세.젤.쉬] 세상 쉬운 프레젠테이션 디자인,직업기초능력,17,,,,
116,정규강좌,[MARKETING 5.0] 힙한 기업을 만드는 디지털 마케팅 전략 수립,직무적성검사,18,,,,
316,정규강좌,박문각 공인중개사 2차 - 기본이론 - 부동산공법,공인중개사,18,,,,
181,정규강좌,NCS 직업기초능력평가,직업기초능력,20,,,,
209,정규강좌,[HD]Adobe Premiere Pro CC 2021 영상 편집의 입문 Part.3,영상편집,20,,,,
212,정규강좌,[HD]Adobe Premiere Pro CC 2021 영상 편집의 입문 Part.4,영상편집,20,,,,
213,정규강좌,[온캠] 한번에 끝내는 컴퓨터활용능력 2급 필기,컴퓨터활용능력,20,,,,
216,정규강좌,[HD]Adobe Premiere Pro CC 2021 영상 편집의 입문 Part.1,영상편집,20,,,,
255,정규강좌,박문각 공인중개사 2차 - 문제풀이 - 부동산공시법,공인중개사,20,,,,
292,정규강좌,독서지도사 2급,생활교양자격증,20,,,,
293,정규강좌,미술심리상담사,생활교양자격증,20,,,,
294,정규강좌,방과후지도사,생활교양자격증,20,,,,
295,정규강좌,심리상담사,생활교양자격증,20,,,,
296,정규강좌,아동심리상담사,생활교양자격증,20,,,,
297,정규강좌,자기주도학습지도사,생활교양자격증,20,,,,
298,정규강좌,학교폭력예방상담사,생활교양자격증,20,,,,
317,정규강좌,박문각 공인중개사 2차 - 기본이론 - 부동산공시법,공인중개사,20,,,,
318,정규강좌,박문각 공인중개사 2차 - 기본이론 - 부동산세법,공인중개사,20,,,,
117,정규강좌,[디지털융합] [완벽한 DX 가이드] 빅데이터 분석을 위한 파이썬 기초,빅데이터,22,,,,
130,정규강좌,[디지털융합] [완벽한 DX 가이드] 빅데이터 분석을 위한 SQL 활용,빅데이터,22,,,,
136,정규강좌,[디지털융합] [완벽한 DX 가이드] 머신러닝을 활용한 빅데이터 분석,빅데이터,22,,,,
141,정규강좌,[디지털융합] [완벽한 DX 가이드] R을 활용한 빅데이터 분석,빅데이터,22,,,,
205,정규강좌,[HD]Adobe Premiere Pro CC 2021 영상 편집의 입문 Part.2,영상편집,22,,,,
250,정규강좌,[온캠] 한번에 끝내는 컴퓨터활용능력 2급 실기,컴퓨터활용능력,22,,,,
259,정규강좌,박문각 공인중개사 2차 - 문제풀이 - 부동산세법,공인중개사,22,,,,
254,정규강좌,박문각 공인중개사 1차 - 문제풀이 - 부동산학개론,공인중개사,23,,,,
257,정규강좌,[재경관리사] 재무회계,재경관리사,24,,,,
265,정규강좌,박문각 공인중개사 2차 - 개념완성 - 부동산공시법,공인중개사,25,,,,
267,정규강좌,박문각 공인중개사 1차 - 개념완성 - 부동산학개론,공인중개사,25,,,,
299,정규강좌,노인심리상담사,생활교양자격증,25,,,,
300,정규강좌,안전지도사,생활교양자격증,25,,,,
301,정규강좌,인문고전독서지도사,생활교양자격증,25,,,,
302,정규강좌,진로상담사,생활교양자격증,25,,,,
308,정규강좌,학습코칭지도사,생활교양자격증,25,,,,
307,정규강좌,아동과학지도사,생활교양자격증,26,,,,
315,정규강좌,박문각 공인중개사 1차 - 기본이론 - 부동산학개론,공인중개사,27,,,,
253,정규강좌,박문각 공인중개사 1차 - 문제풀이 - 민법 및 민사특별법,공인중개사,28,,,,
256,정규강좌,박문각 공인중개사 2차 - 문제풀이 - 부동산공법,공인중개사,28,,,,
266,정규강좌,박문각 공인중개사 2차 - 개념완성 - 부동산공법,공인중개사,29,,,,
268,정규강좌,박문각 공인중개사 1차 - 개념완성 - 민법 및 민사특별법,공인중개사,29,,,,
264,정규강좌,박문각 공인중개사 2차 - 개념완성 - 부동산세법,공인중개사,31,,,,
263,정규강좌,박문각 공인중개사 2차 - 개념완성 - 부동산중개사법 및 중개실무,공인중개사,32,,,,
319,정규강좌,박문각 공인중개사 2차 - 기본이론 - 부동산중개사법 및 중개실무,공인중개사,32,,,,
314,정규강좌,박문각 공인중개사 1차 - 기본이론 - 민법 및 민사특별법,공인중개사,34,,,,
173,정규강좌,처음 시작하는 자바 프로그래밍-초급,프로그래밍,38,,,,
249,정규강좌,정보처리기사 필기 - 소프트웨어설계,정보처리기사,45,,,,
248,정규강좌,정보처리기사 필기 - 소프트웨어개발,정보처리기사,48,,,,
59,정규강좌,[디지털융합] 유니티로 만드는 VR/AR 콘텐츠 기획+개발 스쿨,프로그래밍,52,,,,
65,정규강좌,비전공자를 위한 웹 개발 스쿨 - HTML5/CSS3,프로그래밍,93,,,,
