,type,title,class,time (h),ing,note,,
39,정규강좌,"패러다임을 뒤바꿀 AI의 시작, ChatGPT",인공지능,3,DONE,,,
42,정규강좌,ChatGPT의 빛과 그림자 : 생성형 AI의 윤리적 활용,트렌드,3,DONE,,,
44,정규강좌,[레전드 스킬] AI는 못하는 진짜 창의력의 기술,직업기초능력,3,DONE,,,
45,정규강좌,[레전드 스킬] 현직 기자가 알려주는 보고서 잘 쓰는 법,직업기초능력,3,DONE,,,
48,정규강좌,[레전드 스킬] 당신 안의 숨은 기획력을 끌어내는 12가지 질문,직업기초능력,3,DONE,,,
54,정규강좌,"일상이 특별해지는 시간, 데이지 미니백 만들기 (뜨개 키트 제공 없음)",취미,3,DONE,,,
57,정규강좌,[카드뉴스] 메타버스 비즈니스 인사이트,메타버스,3,DONE,,,
58,정규강좌,스낵영어네이티브: The Office 3.4 [초중급],영어비즈니스회화,3,DONE,,,
60,정규강좌,스낵영어네이티브: The Office 2.2 [초급],영어비즈니스회화,3,DONE,,,
66,정규강좌,스낵영어네이티브: The Office 2.4 [초급],영어비즈니스회화,3,DONE,,,
67,정규강좌,"리더들의 감정주치의, 이동환의 감정수업",직무적성검사,3,DONE,,,
72,정규강좌,스낵영어네이티브: The Office 2.3 [초급],영어비즈니스회화,3,DONE,,,
73,정규강좌,스낵영어네이티브: The Office 3.2 [초중급],영어비즈니스회화,3,DONE,,,
75,정규강좌,스낵영어네이티브: The Office 3.3 [초중급],영어비즈니스회화,3,DONE,,,
77,정규강좌,스낵영어네이티브: The Office 2.1 [초급],영어비즈니스회화,3,DONE,,,
81,정규강좌,스낵영어네이티브: The Life 3.5 [초중급],영어,3,DONE,,,
82,정규강좌,스낵영어네이티브: The Office 3.1 [초중급],영어비즈니스회화,3,DONE,,,
84,정규강좌,스낵영어네이티브: The Travel 3.2 [초중급],영어,3,DONE,,,
85,정규강좌,스낵영어네이티브: The Travel 3.1 [초중급],영어,3,DONE,,,
92,정규강좌,스낵영어네이티브: The Life 3.3 [초중급],영어,3,DONE,,,
94,정규강좌,스낵영어네이티브: The Life 3.4 [초중급],영어,3,DONE,,,
96,정규강좌,스낵영어네이티브: The Life 3.2 [초중급],영어,3,DONE,,,
98,정규강좌,스낵영어네이티브: The Life 3.1 [초중급],영어,3,DONE,,,
99,정규강좌,스낵영어네이티브: The Life 3.6 [초중급],영어,3,DONE,,,
103,정규강좌,"요즘의 책읽기 - 함께, 깊게 읽는 독서 모임 만드는 법",취미,3,DONE,,,
104,정규강좌,[정체성 리부팅] 나를 발견하는 심리학,직무적성검사,3,DONE,,,
109,정규강좌,"나를 넘어서는 힘, 스포츠 이노베이션",직무적성검사,3,DONE,,,
135,정규강좌,"초고성장기업의 앞서가는 혁신전략, 조직문화 익스프레스",리모트 리더십,3,DONE,,,
137,정규강좌,ESG X Tech : DX시대의 ESG 경영 전략,ESG,3,DONE,,,
146,정규강좌,MZ세대를 사로잡은 디지털 마케팅 트렌드,SNS활용,3,DONE,,,
162,정규강좌,"직장인의 빠른 퇴근을 위한 솔루션, RPA",디지털 트랜스포메이션,3,DONE,스킵가능,,
166,정규강좌,밀레니얼의 여행은 어떻게 달라질 것인가,취미,3,DONE,,,
179,정규강좌,세종에게 창조습관을 묻다,직업기초능력,3,DONE,스킵가능,,
201,정규강좌,이문화 특강 - 튀르키예,인식개선,3,DONE,,,
214,정규강좌,이문화 특강 - 중국,인식개선,3,DONE,,,
230,정규강좌,이문화 특강 - 이탈리아,인식개선,3,DONE,,,
233,정규강좌,이문화 특강 - 베트남,인식개선,3,DONE,,,
244,정규강좌,[How2업스킬] MBTI로 가화만사성! 성격유형으로 보는 부부＆자녀 대화법,자녀교육,3,DONE,,,
251,정규강좌,어른이의 돈 되는 생활,재테크,3,DONE,스킵가능,,
269,정규강좌,"습관 홈트, 평생 힘이 되는 하루 10분 습관 만들기",인생이모작,3,DONE,스킵가능,,
270,정규강좌,[How2업스킬] MBTI로 보는 나! 성격유형으로 보는 일잘러 되는 법,직무적성검사,3,DONE,스킵가능,,
278,정규강좌,HOLA! 스페인어 첫걸음,기타 외국어,3,DONE,,,
284,정규강좌,Pit a pat Korean-Basic 1,한국어,3,DONE,,,
285,정규강좌,Pit a pat Korean-Basic 2,한국어,3,DONE,,,
286,정규강좌,Pit a pat Korean-Beginner,한국어,3,DONE,,,
311,정규강좌,빅데이터는 어떻게 기업의 무기가 되는가,빅데이터,3,DONE,스킵가능,,
323,테마강좌,[2024 법정필수교육] 성희롱 예방+개인정보보호+직장 내 장애인 인식개선,5대 법정의무교육,3,DONE,,,
324,테마강좌,[2024 법정필수교육] 성희롱 예방+개인정보보호+직장 내 괴롭힘 예방,5대 법정의무교육,3,DONE,,,
331,테마강좌,[2024 법정필수교육] 성희롱 예방+직장 내 장애인 인식개선+직장 내 괴롭힘 예방,5대 법정의무교육,3,DONE,,,
332,테마강좌,[2024 법정필수교육] 성희롱 예방+직장 내 장애인 인식개선+퇴직연금,5대 법정의무교육,3,DONE,,,
385,테마강좌,합리적 의사결정을 돕는 퍼실리테이션,기타,3,DONE,,,
43,정규강좌,"[레전드 스킬] AI시대, 인공지능과 윈윈하는 커리어 피보팅",직무적성검사,4,DONE,04월 16일,,
61,정규강좌,스낵영어네이티브: The Office 5.1 [중고급],영어비즈니스회화,4,DONE,,,
68,정규강좌,스낵영어네이티브: The Office 5.3 [중고급],영어비즈니스회화,4,DONE,,,
69,정규강좌,스낵영어네이티브: The Office 5.2 [중고급],영어비즈니스회화,4,DONE,,,
70,정규강좌,스낵영어네이티브: The Travel 5.1 [중고급],영어,4,DONE,,,
71,정규강좌,스낵영어네이티브: The Office 4.3 [중급],영어비즈니스회화,4,DONE,,,
74,정규강좌,스낵영어네이티브: The Office 5.4 [중고급],영어비즈니스회화,4,DONE,,,
76,정규강좌,스낵영어네이티브: The Office 4.1 [중급],영어비즈니스회화,4,DONE,,,
78,정규강좌,스낵영어네이티브: The Office 4.2 [중급],영어비즈니스회화,4,DONE,,,
79,정규강좌,스낵영어네이티브: The Travel 5.2 [중고급],영어,4,DONE,,,
83,정규강좌,스낵영어네이티브: The Office 4.4 [중급],영어비즈니스회화,4,DONE,,,
87,정규강좌,스낵영어네이티브: The Life 5.2 [중고급],영어,4,DONE,,,
88,정규강좌,스낵영어네이티브: The Life 5.1 [중고급],영어,4,DONE,,,
90,정규강좌,[디지털융합] 가상세계로 떠나는 메타버스 튜토리얼,메타버스,4,DONE,,,
91,정규강좌,스낵영어네이티브: The Life 5.4 [중고급],영어,4,DONE,,,
97,정규강좌,미술의 마음,인문,4,DONE,,,
100,정규강좌,스낵영어네이티브: The Life 5.3 [중고급],영어,4,DONE,,,
101,정규강좌,스낵영어네이티브: The Life 5.5 [중고급],영어,4,DONE,,,
102,정규강좌,스낵영어네이티브: The Life 5.6 [중고급],영어,4,DONE,,,
107,정규강좌,[Tech briefing] 빅테크의 모든 것,디지털 트랜스포메이션,4,DONE,,,
143,정규강좌,"[디지털융합] 새로운 디지털 혁명, 블록체인",디지털 트랜스포메이션,4,DONE,,,
155,정규강좌,쉽게 배우는 씨리얼 토익 스타트 RC,영어시험대비,4,DONE,,,
157,정규강좌,쉽게 배우는 씨리얼 토익 스타트 LC,영어시험대비,4,DONE,,,
168,정규강좌,[IT어빌리티] 인공지능과 인간의 대화,인공지능,4,DONE,,,
170,정규강좌,"빅데이터, 사람을 읽다",빅데이터,4,DONE,,,
178,정규강좌,인문학과 함께하는 비즈니스 트립,취미,4,DONE,스킵가능,,
189,정규강좌,핵심만 콕! 은퇴 준비와 은퇴 설계,인생이모작,4,DONE,,,
195,정규강좌,[HD]MS 오피스 2021 제대로 배우기 - PowerPoint 2021 활용,파워포인트,4,DONE,,,
196,정규강좌,핵심만 콕! 재취업 준비와 성공전략,인생이모작,4,DONE,스킵가능,,
197,정규강좌,[HD]MS 오피스 2021 제대로 배우기 - PowerPoint 2021 기초,파워포인트,4,DONE,,,
198,정규강좌,"마법처럼 풀리는, 중국 비즈니스 출장 회화 마스터",중국어비즈니스회화,4,DONE,스킵가능,,
199,정규강좌,"마법처럼 풀리는, 중국 비즈니스 문서 작성 마스터",중국어비즈니스회화,4,DONE,스킵가능,,
210,정규강좌,두근두근 필리핀어 - 기초,기타 외국어,4,DONE,,,
220,정규강좌,두근두근 필리핀어 - 입문,기타 외국어,4,DONE,,,
271,정규강좌,CHAO! 베트남어 첫걸음,기타 외국어,4,DONE,,,
277,정규강좌,두근두근 광둥어,중국어일반회화,4,DONE,,,
281,정규강좌,중국어로 배우는 한국어 - 초급,한국어,4,DONE,,,
282,정규강좌,함께 기르는 우리 아이 사고력,자녀교육,4,DONE,,,
325,테마강좌,[2024 법정필수교육] 성희롱 예방+개인정보보호+직장 내 장애인 인식개선+직장 내 괴롭힘 예방,5대 법정의무교육,4,DONE,,04월 15일,78
326,테마강좌,[2024 법정필수교육] 성희롱 예방+개인정보보호+직장 내 장애인 인식개선+퇴직연금,5대 법정의무교육,4,DONE,,04월 16일,206
333,테마강좌,[2024 법정필수교육] 성희롱 예방+직장 내 장애인 인식개선+직장 내 괴롭힘 예방+퇴직연금,5대 법정의무교육,4,DONE,,04월 17일,224
334,테마강좌,[2024 법정필수교육] 4대 폭력 예방,5대 법정의무교육,4,DONE,,,
18,정규강좌,[스낵영어] 10일로 끝내는 All in One 비즈니스회화 초급 1탄. 오피스 커뮤니케이션,영어비즈니스회화,5,DONE,스킵가능,,
93,정규강좌,"이소은의 퍼블릭 스피킹, 말하기를 말하다",직업기초능력,5,DONE,,,
121,정규강좌,"실례합니다만, 비즈니스 매너는 지켜주시겠어요?",직업기초능력,5,DONE,,,
138,정규강좌,[디지털융합] 기업의 미래를 바꾸는 디지털 혁신 기술,디지털 트랜스포메이션,5,DONE,,,
139,정규강좌,도시와 공간을 잇는 인문 기행,인문,5,DONE,,,
142,정규강좌,[리더십 마스터] 오늘부터 시작하라: 생각을 바꾸는 인문학,인문,5,DONE,,,
147,정규강좌,가상자산으로 제2의 월급만들기,재테크,5,DONE,,,
152,정규강좌,"[스마트팩토리] 인더스트리 4.0시대, 혁신을 위한 스마트 공장 DNA",디지털 트랜스포메이션,5,DONE,,,
161,정규강좌,인사이트를 찾아 떠나는 비즈니스 트립,취미,5,DONE,스킵가능,,
