,대분류,중분류,소분류,과정명,학습시간,수료여부,frame,prognostics,Unnamed: 9,Unnamed: 10,Unnamed: 11,acc_sum
0,정규강좌,정보화/IT,리모트 리더십,[리모트 워크] 슬기로운 조직관리 리더십,1,TRUE,frame,FALSE,,,,1
1,정규강좌,취업,직업기초능력,NCS 직업기초능력평가 - 직업윤리,1,TRUE,frame,FALSE,,,,2
2,정규강좌,생활/인문교양,재테크/자녀교육,기술이 그리는 공부의 미래,1,TRUE,frame,FALSE,,,,3
3,테마강좌,법정의무교육,필수교육,"[고민 영수증] 김지민, 박영진과 함께하는 직장 내 성희롱 예방교육",1,TRUE,iframe,FALSE,,,,4
4,테마강좌,법정의무교육,필수교육,"[생생고민톡] 김기리, 윤태진과 함께하는 개인정보보호 교육",1,TRUE,iframe,FALSE,,,,5
5,테마강좌,법정의무교육,필수교육,"[고민 영수증] 김지민, 박영진과 함께하는 직장 내 괴롭힘 예방교육",1,TRUE,iframe,FALSE,,,,6
6,테마강좌,법정의무교육,필수교육,"[생생고민톡] 김기리, 윤태진과 함께하는 직장 내 장애인 인식개선 교육",1,TRUE,iframe,FALSE,,,,7
7,테마강좌,법정의무교육,인권교육,[직장인의 품격] 공정사회 및 인권사회 구현,1,TRUE,iframe,FALSE,,,,8
8,테마강좌,법정의무교육,필수교육,"[고민 영수증] 김지민, 박영진과 함께하는 가정폭력 예방교육",1,TRUE,iframe,FALSE,,,,9
9,테마강좌,법정의무교육,필수교육,"[생생고민톡] 김기리, 윤태진과 함께하는 성폭력 예방교육",1,TRUE,iframe,FALSE,,,,10
10,테마강좌,법정의무교육,필수교육,[직장인의 품격] 갑질예방교육,1,TRUE,iframe,FALSE,,,,11
11,테마강좌,법정의무교육,필수교육,[직장인의 품격] 육아휴직 복귀지원 교육,1,TRUE,iframe,FALSE,,,,12
12,테마강좌,법정의무교육,필수교육,[직장인의 품격] 지능정보서비스 과의존 예방교육,1,TRUE,iframe,FALSE,,,,13
13,테마강좌,법정의무교육,필수교육,"[직장인 고민타파] 최양락, 팽현숙과 함께하는 성폭력 예방교육(2022)",1,TRUE,iframe,FALSE,,,,14
14,테마강좌,법정의무교육,인권교육,[직장인의 품격] 청탁금지법,1,TRUE,iframe,FALSE,,,,15
15,테마강좌,법정의무교육,필수교육,"[생생고민톡] 김기리, 윤태진과 함께하는 성매매 예방교육",1,TRUE,iframe,FALSE,,,,16
16,테마강좌,법정의무교육,필수교육,"[고민 영수증] 김지민, 박영진과 함께하는 감정노동자 보호 교육",1,TRUE,iframe,FALSE,,,,17
17,테마강좌,외국인근로자(Foreign),,위생 및 정리수납 노하우(CAM),1,TRUE,iframe,FALSE,,,,18
18,테마강좌,외국인근로자(Foreign),,위생 및 정리수납 노하우(KOR),1,TRUE,iframe,FALSE,,,,19
19,테마강좌,외국인근로자(Foreign),-,위생 및 정리수납 노하우(INA),1,TRUE,iframe,FALSE,,,,20
20,테마강좌,외국인근로자(Foreign),-,위생 및 정리수납 노하우(VIE),1,TRUE,iframe,FALSE,,,,21
21,테마강좌,주민자치강좌,-,금호1동 주민자치회 활성화 사례,1,TRUE,iframe,FALSE,,,,22
22,테마강좌,주민자치강좌,-,고양동 주민자치회 활성화 사례,1,TRUE,iframe,FALSE,,,,23
23,테마강좌,주민자치강좌,-,주민자치&주민주권의 실현,1,TRUE,iframe,FALSE,,,,24
24,테마강좌,주민자치강좌,-,담양군 주민자치회 활성화 사례,1,TRUE,iframe,FALSE,,,,25
25,테마강좌,주민자치강좌,-,주민세 연계 주민자치 활성화 사례,1,TRUE,iframe,FALSE,,,,26
26,테마강좌,주민자치강좌,-,주민주권시대 풀뿌리 주민자치,1,TRUE,iframe,FALSE,,,,27
27,테마강좌,주민자치강좌,-,청양읍 주민자치회 활성화 사례,1,TRUE,iframe,FALSE,,,,28
28,정규강좌,정보화/IT,SNS활용,인스타그램 마케팅 실전기법,2,TRUE,frame,FALSE,,,,30
29,정규강좌,정보화/IT,인공지능,"ChatGPT, 멀티모달 AI의 미래를 열다",2,TRUE,frame,FALSE,,,,32
30,정규강좌,정보화/IT,디지털 트랜스포메이션,세상을 뒤바꿀 미래기술 25,2,TRUE,frame,FALSE,,,,34
31,정규강좌,정보화/IT,메타버스,"[카드뉴스] 메타버스, 앞으로 만날 두번째 세계",2,TRUE,iframe,FALSE,,,,36
32,정규강좌,취업,직무적성검사,취업멘토 이민영의 최종합격 취업꿀팁,2,TRUE,frame,FALSE,,,,38
33,정규강좌,취업,직업기초능력,NCS 직업기초능력평가 - 의사소통능력,2,TRUE,frame,FALSE,,,,40
34,정규강좌,취업,직업기초능력,NCS 직업기초능력평가 - 정보능력,2,TRUE,frame,FALSE,,,,42
35,정규강좌,취업,직업기초능력, NCS 직업기초능력평가 - 자기개발능력,2,TRUE,frame,FALSE,,,,44
36,정규강좌,취업,인생이모작,[카드뉴스] 파이어족이 온다: 빠르게 은퇴를 준비하는 사람들,2,TRUE,iframe,FALSE,,,,46
37,정규강좌,취업,직업기초능력,NCS 직업기초능력평가 - 대인관계 능력,2,TRUE,frame,FALSE,,,,48
38,정규강좌,취업,직업기초능력,NCS 직업기초능력평가 - 문제해결능력,2,TRUE,frame,FALSE,,,,50
39,정규강좌,취업,직업기초능력,NCS 직업기초능력평가 - 조직이해능력,2,TRUE,frame,FALSE,,,,52
40,정규강좌,취업,창업,청년 창업 지원,2,TRUE,iframe,FALSE,,,,54
41,정규강좌,취업,직무적성검사,확신의 덫,2,TRUE,frame,FALSE,,,,56
42,정규강좌,취업,직업기초능력,NCS 직업기초능력평가 - 기술능력,2,TRUE,frame,FALSE,,,,58
43,정규강좌,취업,직업기초능력,NCS 직업기초능력평가 - 수리능력,2,TRUE,frame,FALSE,,,,60
44,정규강좌,취업,직업기초능력,NCS 직업기초능력평가 - 자원관리능력,2,TRUE,frame,FALSE,,,,62
45,정규강좌,생활/인문교양,인문,통신서비스 활용 및 피해예방 교육,2,TRUE,iframe,FALSE,,,,64
46,정규강좌,시민교육,ESG,"[카드뉴스] 지속가능한 기업의 성공 법칙, ESG 빠르게 읽기",2,TRUE,iframe,FALSE,,,,66
47,정규강좌,시민교육,ESG,"기후 변화 시대, 새로운 마인드셋",2,TRUE,frame,FALSE,,,,68
48,정규강좌,외국어,영어,스낵영어네이티브: The Life 1.1 [기초],2,TRUE,iframe,FALSE,,,,70
49,정규강좌,외국어,영어,스낵영어네이티브: The Life 1.2 [기초],2,TRUE,iframe,FALSE,,,,72
50,정규강좌,외국어,영어,스낵영어네이티브: The Life 1.3 [기초],2,TRUE,iframe,FALSE,,,,74
51,정규강좌,외국어,영어,스낵영어네이티브: The Life 1.4 [기초],2,TRUE,iframe,FALSE,,,,76
52,정규강좌,다문화,-,Magic Hangul Phonics,2,TRUE,iframe,FALSE,,,,78
53,정규강좌,다문화,-,[공통 이문화] Let′s Culturally Fluent! 이문화 이해와 글로벌 에티켓,2,TRUE,iframe,FALSE,,,,80
54,정규강좌,다문화,-,비즈니스 한국어 - 입문,2,TRUE,iframe,FALSE,,,,82
55,테마강좌,우와'한 광주-광주학 콘텐츠,,책 읽기는 애쓰기다,2,TRUE,iframe,FALSE,,,,84
56,테마강좌,우와'한 광주-광주학 콘텐츠,,시에서 찾는 인생의 지혜,2,TRUE,iframe,FALSE,,,,86
57,테마강좌,우와'한 광주-광주학 콘텐츠,,유네스코 미디어아트 창의도시 광주와 나,2,TRUE,iframe,FALSE,,,,88
58,테마강좌,우와'한 광주-광주학 콘텐츠,,위드 코로나시대 미래교육과 에듀테크,2,TRUE,iframe,FALSE,,,,90
