,대분류,중분류,소분류,과정명,학습시간,수료여부,frame,prognostics
463,정규강좌,자격증,한국사능력검정,[이론+기출+모의고사 한번에 완성]한국사능력검정시험 심화 3급,38,463,463,False
464,정규강좌,정보화/IT,프로그래밍,처음 시작하는 자바 프로그래밍-초급,38,464,464,True
465,정규강좌,자격증,주택관리사,박문각 주택관리사 - 기본 - 회계원리,41,465,465,False
466,정규강좌,자격증,컴퓨터활용능력,[온캠] 한번에 끝내는 컴퓨터활용능력 2급 실기,45,466,466,False
467,정규강좌,자격증,주택관리사,박문각 주택관리사 - 기본 - 공동주택 시설개론,46,467,467,False
468,정규강좌,자격증,주택관리사,박문각 주택관리사 - 기본 - 민법,51,468,468,False
469,정규강좌,정보화/IT,프로그래밍,[디지털융합] 유니티로 만드는 VR/AR 콘텐츠 기획+개발 스쿨,52,469,469,True
470,정규강좌,자격증,주택관리사,2022 박문각 주택관리사 - 기본 - 공동주택 시설개론,64,470,470,False
471,정규강좌,자격증,주택관리사,2022 박문각 주택관리사 - 기본 - 민법,77,471,471,False
472,정규강좌,정보화/IT,프로그래밍,비전공자를 위한 웹 개발 스쿨 - HTML5/CSS3,93,472,472,True
